FLD1,FLD2,z_1 / mole frac.,z_2 / mole frac.,T / K,p / MPa,w / m/s,Uc(w) / %,sigma_T / K,sigma_p / MPa,sigma_w / m s^-1,N_temp,N_echo,bibkey,weight,p / Pa,Ao20,rho(EOS) / mol/m^3
R32,R1234ZEE,0.66665,0.33335,325.008,38.732,730.357,0.04,0.001,0.003,0.011,16,12,2022 row per 0,1,38732000,-6.915722997665464,15104.523990569272
R32,R1234ZEE,0.66665,0.33335,329.999,42.347,736.471,0.039,0.001,0.001,0.002,16,12,2022 row per 0,1,42347000,-6.990167346791499,15100.18180378415
R32,R1234ZEE,0.66665,0.33335,335.003,45.911,742.253,0.039,0.001,0.003,0.017,16,12,2022 row per 0,1,45911000,-7.064529788053976,15093.992714550564
R32,R1234ZEE,0.66665,0.33335,340.007,49.463,747.955,0.038,0.002,0.002,0.01,16,12,2022 row per 0,1,49463000,-7.138591484494533,15088.02773931342
R32,R1234ZEE,0.66665,0.33335,279.993,1.713,635.018,0.058,0.002,0.001,0.007,16,12,2022 row per 0,1,1713000,-6.23604561397308,14885.433759424806
R32,R1234ZEE,0.66665,0.33335,284.995,5.297,642.993,0.054,0.001,0.001,0.009,16,12,2022 row per 0,1,5297000,-6.3120047111995445,14886.679588331528
R32,R1234ZEE,0.66665,0.33335,289.998,8.912,651.049,0.052,0.002,0.014,0.11,16,12,2022 row per 0,1,8912000,-6.387926253261513,14889.210555528127
R32,R1234ZEE,0.66665,0.33335,294.994,12.535,659.054,0.049,0.001,0.002,0.021,16,12,2022 row per 0,1,12535000,-6.463666175895469,14892.016652026763
R32,R1234ZEE,0.66665,0.33335,299.995,16.124,666.604,0.048,0.001,0.001,0.003,16,12,2022 row per 0,1,16124000,-6.539382706639512,14892.292442140557
R32,R1234ZEE,0.66665,0.33335,304.995,19.7,673.94,0.046,0.002,0.001,0.01,16,12,2022 row per 0,1,19700000,-6.614960385184859,14891.914761016764
R32,R1234ZEE,0.66665,0.33335,309.997,23.273,681.128,0.045,0.001,0.0,0.003,16,12,2022 row per 0,1,23273000,-6.690419443286431,14891.47463897479
R32,R1234ZEE,0.66665,0.33335,314.992,26.827,688.112,0.044,0.001,0.002,0.012,16,12,2022 row per 0,1,26827000,-6.765598957568977,14890.55759554162
R32,R1234ZEE,0.66665,0.33335,320.002,30.378,694.949,0.043,0.001,0.004,0.024,16,12,2022 row per 0,1,30378000,-6.84080398016885,14889.281965758808
R32,R1234ZEE,0.66665,0.33335,325.007,33.91,701.611,0.042,0.001,0.003,0.014,16,12,2022 row per 0,1,33910000,-6.915708056076507,14887.643353440339
R32,R1234ZEE,0.66665,0.33335,329.999,37.418,708.096,0.041,0.001,0.002,0.014,16,12,2022 row per 0,1,37418000,-6.990167346791499,14885.737352749955
R32,R1234ZEE,0.66665,0.33335,335.003,40.873,714.17,0.04,0.002,0.001,0.011,16,12,2022 row per 0,1,40873000,-7.064529788053976,14881.542694227739
R32,R1234ZEE,0.66665,0.33335,340.007,44.32,720.18,0.04,0.003,0.003,0.013,16,12,2022 row per 0,1,44320000,-7.138591484494533,14877.583052513228
R32,R1234ZEE,0.66665,0.33335,345.012,47.756,726.093,0.039,0.001,0.001,0.002,16,12,2022 row per 0,1,47756000,-7.212343153357977,14873.692748769663
R32,R1234ZEE,0.66665,0.33335,284.994,1.694,608.365,0.063,0.001,0.001,0.008,16,12,2022 row per 0,1,1694000,-6.311989529981882,14619.183131913363
R32,R1234ZEE,0.66665,0.33335,289.997,5.103,616.628,0.059,0.001,0.002,0.016,16,12,2022 row per 0,1,5103000,-6.387911084830836,14623.597085881604
R32,R1234ZEE,0.66665,0.33335,294.993,8.513,624.7,0.055,0.001,0.001,0.007,15,11,2022 row per 0,1,8513000,-6.463651024888225,14627.233204356235
R32,R1234ZEE,0.66665,0.33335,299.996,11.932,632.641,0.053,0.002,0.002,0.016,16,12,2022 row per 0,1,11932000,-6.53939783537022,14630.41356501747
R32,R1234ZEE,0.66665,0.33335,304.994,15.358,640.471,0.05,0.002,0.001,0.01,16,12,2022 row per 0,1,15358000,-6.6149452836795755,14633.794924125401
R32,R1234ZEE,0.66665,0.33335,309.996,18.768,648.007,0.049,0.002,0.001,0.008,16,12,2022 row per 0,1,18768000,-6.690404374079049,14635.722907323783
R32,R1234ZEE,0.66665,0.33335,314.992,22.162,655.304,0.047,0.001,0.001,0.004,16,12,2022 row per 0,1,22162000,-6.765598957568977,14636.88923320582
R32,R1234ZEE,0.66665,0.33335,320.002,25.557,662.442,0.046,0.001,0.001,0.004,16,12,2022 row per 0,1,25557000,-6.84080398016885,14637.659739988345
R32,R1234ZEE,0.66665,0.33335,325.007,28.927,669.324,0.044,0.002,0.002,0.008,16,12,2022 row per 0,1,28927000,-6.915708056076507,14637.434575886862
R32,R1234ZEE,0.66665,0.33335,329.998,32.279,676.035,0.043,0.002,0.002,0.013,16,12,2022 row per 0,1,32279000,-6.9901524577651815,14637.037828193032
R32,R1234ZEE,0.66665,0.33335,335.002,35.587,682.361,0.042,0.002,0.003,0.018,16,12,2022 row per 0,1,35587000,-7.064514956688839,14634.331166773662
R32,R1234ZEE,0.66665,0.33335,340.007,38.899,688.646,0.042,0.002,0.001,0.004,16,12,2022 row per 0,1,38899000,-7.138591484494533,14632.256847413977
R32,R1234ZEE,0.66665,0.33335,345.012,42.215,694.893,0.041,0.001,0.011,0.053,16,12,2022 row per 0,1,42215000,-7.212343153357977,14630.799369103326
R32,R1234ZEE,0.66665,0.33335,289.996,1.697,581.434,0.069,0.002,0.002,0.023,15,11,2022 row per 0,1,1697000,-6.387895916397142,14341.582267263326
R32,R1234ZEE,0.66665,0.33335,294.992,4.934,590.031,0.064,0.001,0.001,0.009,16,12,2022 row per 0,1,4934000,-6.463635873877017,14350.296045526444
R32,R1234ZEE,0.66665,0.33335,299.994,8.192,598.528,0.06,0.002,0.001,0.01,16,12,2022 row per 0,1,8192000,-6.539367577903858,14358.436494479854
R32,R1234ZEE,0.66665,0.33335,304.993,11.445,606.742,0.056,0.001,0.001,0.007,16,12,2022 row per 0,1,11445000,-6.61493018216834,14364.940620542926
R32,R1234ZEE,0.66665,0.33335,309.997,14.699,614.718,0.054,0.003,0.003,0.017,16,12,2022 row per 0,1,14699000,-6.690419443286431,14370.379709222463
R32,R1234ZEE,0.66665,0.33335,314.991,17.948,622.491,0.051,0.002,0.001,0.013,16,12,2022 row per 0,1,17948000,-6.765583925712651,14375.315286864503
R32,R1234ZEE,0.66665,0.33335,320.001,21.167,629.832,0.05,0.002,0.011,0.077,16,12,2022 row per 0,1,21167000,-6.840788990907364,14377.300576868449
R32,R1234ZEE,0.66665,0.33335,325.007,24.37,636.891,0.048,0.001,0.001,0.005,16,12,2022 row per 0,1,24370000,-6.915708056076507,14378.435113822208
R32,R1234ZEE,0.66665,0.33335,329.999,27.569,643.882,0.046,0.001,0.001,0.003,16,12,2022 row per 0,1,27569000,-6.990167346791499,14379.951982179517
R32,R1234ZEE,0.66665,0.33335,335.002,30.74,650.525,0.045,0.001,0.002,0.017,16,12,2022 row per 0,1,30740000,-7.064514956688839,14379.622055167994
R32,R1234ZEE,0.66665,0.33335,340.008,33.911,657.087,0.044,0.001,0.0,0.002,16,12,2022 row per 0,1,33911000,-7.138606253327492,14379.466073336169
R32,R1234ZEE,0.66665,0.33335,345.012,37.073,663.51,0.043,0.0,0.001,0.004,16,12,2022 row per 0,1,37073000,-7.212343153357977,14379.18730745932
R32,R1234ZEE,0.66665,0.33335,294.991,1.744,554.52,0.076,0.001,0.002,0.017,15,11,2022 row per 0,1,1744000,-6.463620722861842,14053.547890967031
R32,R1234ZEE,0.66665,0.33335,299.993,4.824,563.554,0.07,0.001,0.0,0.003,15,11,2022 row per 0,1,4824000,-6.539352449163257,14067.759570244529
R32,R1234ZEE,0.66665,0.33335,304.992,7.921,572.421,0.065,0.002,0.001,0.014,16,12,2022 row per 0,1,7921000,-6.6149150806511585,14080.645055755986
R32,R1234ZEE,0.66665,0.33335,309.995,11.02,580.96,0.061,0.002,0.001,0.011,16,12,2022 row per 0,1,11020000,-6.690389304864701,14091.305075524011
R32,R1234ZEE,0.66665,0.33335,314.991,14.105,589.128,0.058,0.001,0.001,0.005,16,12,2022 row per 0,1,14105000,-6.765583925712651,14099.684016767162
R32,R1234ZEE,0.66665,0.33335,320.001,17.197,597.077,0.055,0.001,0.002,0.015,16,12,2022 row per 0,1,17197000,-6.840788990907364,14106.96593663626
R32,R1234ZEE,0.66665,0.33335,325.007,20.284,604.788,0.053,0.001,0.001,0.007,16,12,2022 row per 0,1,20284000,-6.915708056076507,14113.361774492325
R32,R1234ZEE,0.66665,0.33335,329.998,23.347,612.186,0.051,0.001,0.001,0.01,16,12,2022 row per 0,1,23347000,-6.9901524577651815,14118.270673142739
R32,R1234ZEE,0.66665,0.33335,335.004,26.379,619.138,0.049,0.001,0.001,0.012,16,12,2022 row per 0,1,26379000,-7.064544619407101,14120.37855902405
R32,R1234ZEE,0.66665,0.33335,340.008,29.414,626.011,0.047,0.003,0.001,0.003,16,12,2022 row per 0,1,29414000,-7.138606253327492,14122.76945544532
R32,R1234ZEE,0.66665,0.33335,345.012,32.437,632.704,0.046,0.001,0.001,0.005,16,12,2022 row per 0,1,32437000,-7.212343153357977,14124.500687807324
R32,R1234ZEE,0.66665,0.33335,299.992,1.909,528.489,0.084,0.001,0.001,0.007,16,12,2022 row per 0,1,1909000,-6.539337320417712,13761.637965692422
R32,R1234ZEE,0.66665,0.33335,304.992,4.834,537.959,0.077,0.002,0.001,0.009,14,10,2022 row per 0,1,4834000,-6.6149150806511585,13782.226048929178
R32,R1234ZEE,0.66665,0.33335,309.994,7.768,547.052,0.071,0.002,0.001,0.007,16,12,2022 row per 0,1,7768000,-6.690374235643385,13799.290096843075
R32,R1234ZEE,0.66665,0.33335,314.99,10.698,555.759,0.066,0.002,0.002,0.015,15,11,2022 row per 0,1,10698000,-6.7655688938483385,13813.298120385856
R32,R1234ZEE,0.66665,0.33335,320.002,13.646,564.272,0.062,0.003,0.001,0.011,7,5,2022 row per 0,1,13646000,-6.84080398016885,13825.99172102179
R32,R1234ZEE,0.66665,0.33335,325.007,16.57,572.292,0.059,0.002,0.001,0.011,16,12,2022 row per 0,1,16570000,-6.915708056076507,13835.462142573884
R32,R1234ZEE,0.66665,0.33335,329.997,19.492,580.122,0.056,0.002,0.005,0.042,15,11,2022 row per 0,1,19492000,-6.990137568727835,13844.408663766471
R32,R1234ZEE,0.66665,0.33335,335.002,22.393,587.537,0.054,0.002,0.002,0.016,15,11,2022 row per 0,1,22393000,-7.064514956688839,13850.408101479266
R32,R1234ZEE,0.66665,0.33335,340.007,25.293,594.766,0.052,0.002,0.001,0.005,16,12,2022 row per 0,1,25293000,-7.138591484494533,13855.918973526024
R32,R1234ZEE,0.66665,0.33335,345.012,28.186,601.803,0.05,0.001,0.001,0.006,16,12,2022 row per 0,1,28186000,-7.212343153357977,13860.662696046533
R32,R1234ZEE,0.66665,0.33335,304.991,2.088,502.18,0.095,0.001,0.002,0.021,16,12,2022 row per 0,1,2088000,-6.614899979128028,13454.526586338676
R32,R1234ZEE,0.66665,0.33335,309.994,4.862,512.116,0.085,0.001,0.001,0.006,15,11,2022 row per 0,1,4862000,-6.690374235643385,13482.940430550654
R32,R1234ZEE,0.66665,0.33335,314.99,7.641,521.595,0.078,0.002,0.0,0.005,16,12,2022 row per 0,1,7641000,-6.7655688938483385,13506.214580910342
R32,R1234ZEE,0.66665,0.33335,320.0,10.429,530.653,0.072,0.002,0.001,0.01,15,11,2022 row per 0,1,10429000,-6.840774001636867,13525.446653008747
R32,R1234ZEE,0.66665,0.33335,325.009,13.216,539.336,0.068,0.005,0.0,0.008,10,6,2022 row per 0,1,13216000,-6.91573793924439,13541.63911867341
R32,R1234ZEE,0.66665,0.33335,329.997,15.982,547.555,0.064,0.003,0.001,0.008,16,12,2022 row per 0,1,15982000,-6.990137568727835,13554.766333461277
R32,R1234ZEE,0.66665,0.33335,335.002,18.735,555.306,0.06,0.003,0.001,0.009,15,11,2022 row per 0,1,18735000,-7.064514956688839,13564.512701475427
R32,R1234ZEE,0.66665,0.33335,340.007,21.483,562.846,0.058,0.002,0.01,0.075,13,9,2022 row per 0,1,21483000,-7.138591484494533,13572.883357096487
R32,R1234ZEE,0.66665,0.33335,345.012,24.213,570.036,0.055,0.001,0.001,0.006,16,12,2022 row per 0,1,24213000,-7.212343153357977,13579.174223160406
R32,R1234ZEE,0.66665,0.33335,309.992,2.264,475.261,0.108,0.003,0.001,0.012,13,9,2022 row per 0,1,2264000,-6.6903440971798585,13126.168693145306
R32,R1234ZEE,0.66665,0.33335,314.989,4.878,485.657,0.096,0.001,0.001,0.006,13,9,2022 row per 0,1,4878000,-6.765553861976036,13164.01064258297
R32,R1234ZEE,0.66665,0.33335,319.999,7.506,495.487,0.087,0.002,0.001,0.008,10,6,2022 row per 0,1,7506000,-6.8407590123573545,13194.29362948615
R32,R1234ZEE,0.66665,0.33335,325.005,10.142,504.893,0.08,0.001,0.001,0.017,16,12,2022 row per 0,1,10142000,-6.915678172868507,13219.930263399157
R32,R1234ZEE,0.66665,0.33335,329.998,12.763,513.746,0.074,0.002,0.001,0.011,15,11,2022 row per 0,1,12763000,-6.9901524577651815,13240.43319476168
R32,R1234ZEE,0.66665,0.33335,335.003,15.366,521.988,0.069,0.002,0.001,0.01,12,8,2022 row per 0,1,15366000,-7.064529788053976,13255.611476091448
R32,R1234ZEE,0.66665,0.33335,340.006,17.977,530.025,0.065,0.002,0.001,0.005,15,11,2022 row per 0,1,17977000,-7.138576715648607,13269.713930685219
R32,R1234ZEE,0.66665,0.33335,345.012,20.584,537.775,0.062,0.001,0.001,0.005,15,11,2022 row per 0,1,20584000,-7.212343153357977,13281.766179352668
R32,R1234ZEE,0.66665,0.33335,314.989,2.491,448.619,0.124,0.001,0.001,0.011,12,8,2022 row per 0,1,2491000,-6.765553861976036,12781.240979452425
R32,R1234ZEE,0.66665,0.33335,319.999,4.965,459.606,0.109,0.001,0.001,0.008,16,12,2022 row per 0,1,4965000,-6.8407590123573545,12832.31796899402
R32,R1234ZEE,0.66665,0.33335,325.005,7.438,469.801,0.098,0.002,0.001,0.013,12,8,2022 row per 0,1,7438000,-6.915678172868507,12871.216432934836
R32,R1234ZEE,0.66665,0.33335,329.997,9.91,479.415,0.089,0.002,0.001,0.004,13,9,2022 row per 0,1,9910000,-6.990137568727835,12902.90831720799
R32,R1234ZEE,0.66665,0.33335,335.003,12.382,488.427,0.082,0.003,0.001,0.012,9,5,2022 row per 0,1,12382000,-7.064529788053976,12928.29439173719
R32,R1234ZEE,0.66665,0.33335,340.007,14.849,497.002,0.076,0.001,0.002,0.014,8,5,2022 row per 0,1,14849000,-7.138591484494533,12949.328314517186
R32,R1234ZEE,0.66665,0.33335,345.012,17.317,505.244,0.071,0.003,0.001,0.006,16,12,2022 row per 0,1,17317000,-7.212343153357977,12967.570184387178
R32,R1234ZEE,0.66665,0.33335,319.998,2.699,420.565,0.146,0.002,0.0,0.005,12,8,2022 row per 0,1,2699000,-6.8407440230688294,12400.117343104766
R32,R1234ZEE,0.66665,0.33335,325.005,5.001,431.946,0.126,0.0,0.0,0.002,7,5,2022 row per 0,1,5001000,-6.915678172868507,12465.626949570928
R32,R1234ZEE,0.66665,0.33335,329.997,7.307,442.493,0.112,0.002,0.0,0.006,12,9,2022 row per 0,1,7307000,-6.990137568727835,12515.543806564405
R32,R1234ZEE,0.66665,0.33335,335.001,9.605,452.126,0.101,0.002,0.001,0.017,14,10,2022 row per 0,1,9605000,-7.064500125311689,12552.482125666276
R32,R1234ZEE,0.66665,0.33335,340.007,11.915,461.351,0.092,0.001,0.001,0.004,16,12,2022 row per 0,1,11915000,-7.138591484494533,12583.945119063621
R32,R1234ZEE,0.66665,0.33335,345.012,14.226,470.15,0.085,0.001,0.001,0.005,8,5,2022 row per 0,1,14226000,-7.212343153357977,12610.36854863803
R32,R1234ZEE,0.66665,0.33335,325.004,2.966,392.943,0.173,0.002,0.0,0.007,9,5,2022 row per 0,1,2966000,-6.915663231249462,11991.834929623234
R32,R1234ZEE,0.66665,0.33335,329.997,5.102,404.776,0.148,0.001,0.0,0.011,12,8,2022 row per 0,1,5102000,-6.990137568727835,12078.578383964652
R32,R1234ZEE,0.66665,0.33335,335.001,7.24,415.402,0.129,0.001,0.002,0.029,13,9,2022 row per 0,1,7240000,-7.064500125311689,12139.421573619918
R32,R1234ZEE,0.66665,0.33335,340.006,9.388,425.417,0.115,0.002,0.001,0.007,13,8,2022 row per 0,1,9388000,-7.138576715648607,12187.235159240758
R32,R1234ZEE,0.66665,0.33335,345.012,11.545,434.904,0.104,0.001,0.0,0.001,11,8,2022 row per 0,1,11545000,-7.212343153357977,12226.568557885887
R32,R1234ZEE,0.66665,0.33335,329.996,3.294,365.893,0.207,0.001,0.0,0.005,8,5,2022 row per 0,1,3294000,-6.990122679679459,11553.798242283317
R32,R1234ZEE,0.66665,0.33335,335.0,5.273,378.074,0.174,0.001,0.0,0.018,4,2,2022 row per 0,1,5273000,-7.064485293922528,11668.57476597041
R32,R1234ZEE,0.66665,0.33335,340.005,7.261,389.129,0.15,0.003,0.001,0.015,8,5,2022 row per 0,1,7261000,-7.138561946789709,11747.505498266903
R32,R1234ZEE,0.66665,0.33335,345.012,9.263,399.478,0.132,0.0,0.001,0.009,4,2,2022 row per 0,1,9263000,-7.212343153357977,11808.211055446032
R32,R1234ZEE,0.66665,0.33335,334.999,3.479,333.733,0.264,0.001,0.001,0.033,7,4,2022 row per 0,1,3479000,-7.064470462521355,10973.62282248042
R32,R1234ZEE,0.66665,0.33335,340.005,5.292,346.87,0.215,0.002,0.0,0.002,11,8,2022 row per 0,1,5292000,-7.138561946789709,11153.67534889552
R32,R1234ZEE,0.66665,0.33335,345.011,7.122,358.707,0.182,0.002,0.001,0.019,8,5,2022 row per 0,1,7122000,-7.212328451769568,11267.59531702995
R32,R1234ZEE,0.66665,0.33335,340.007,3.933,308.044,0.318,0.001,0.0,0.0,2,1,2022 row per 0,1,3933000,-7.138591484494533,10427.861925647838
R32,R1234ZEE,0.66665,0.33335,345.012,5.597,321.813,0.255,0.001,0.0,0.258,4,2,2022 row per 0,1,5597000,-7.212343153357977,10679.063118030748
R125,R1234YF,0.33351,0.66649,229.997,0.107,716.21,0.044,0.005,0.0,0.053,16,12,2022 row per 1,1,107000,-7.3477430240131225,736.0414872640937
R125,R1234YF,0.33351,0.66649,235.006,0.744,697.538,0.045,0.001,0.001,0.007,16,12,2022 row per 1,1,744000,-7.46370956753766,13510.846183562831
R125,R1234YF,0.33351,0.66649,240.002,0.803,675.153,0.047,0.001,0.001,0.03,16,12,2022 row per 1,1,803000,-7.578590529405876,13358.399718530067
R125,R1234YF,0.33351,0.66649,245.002,0.818,652.496,0.049,0.002,0.001,0.043,16,12,2022 row per 1,1,818000,-7.692772068830171,13201.278254535508
R125,R1234YF,0.33351,0.66649,250.004,0.825,629.836,0.052,0.001,0.001,0.05,16,12,2022 row per 1,1,825000,-7.806202749394216,13040.282697081302
R125,R1234YF,0.33351,0.66649,254.994,0.836,607.262,0.055,0.002,0.001,0.022,16,12,2022 row per 1,1,836000,-7.918564670730784,12875.946976224162
R125,R1234YF,0.33351,0.66649,259.986,0.849,584.745,0.059,0.001,0.001,0.004,15,11,2022 row per 1,1,849000,-8.030173397321411,12707.367766175033
R125,R1234YF,0.33351,0.66649,269.992,4.667,575.51,0.058,0.003,0.001,0.009,16,12,2022 row per 1,1,4667000,-8.251470700182367,12534.522572510836
R125,R1234YF,0.33351,0.66649,274.995,7.87,582.878,0.055,0.001,0.001,0.004,15,11,2022 row per 1,1,7870000,-8.360907418837753,12509.331700901905
R125,R1234YF,0.33351,0.66649,279.999,11.062,590.021,0.053,0.001,0.0,0.002,16,12,2022 row per 1,1,11062000,-8.46955329215283,12485.391291599766
R125,R1234YF,0.33351,0.66649,269.99,4.084,570.312,0.059,0.002,0.002,0.016,16,12,2022 row per 1,1,4084000,-8.251426789786539,12508.51589999664
R125,R1234YF,0.33351,0.66649,274.995,7.259,577.715,0.057,0.003,0.002,0.014,16,12,2022 row per 1,1,7259000,-8.360907418837753,12482.869467247287
R125,R1234YF,0.33351,0.66649,279.999,10.444,585.082,0.054,0.001,0.003,0.019,16,12,2022 row per 1,1,10444000,-8.46955329215283,12459.449576519874
R125,R1234YF,0.33351,0.66649,284.999,13.619,592.255,0.052,0.002,0.001,0.005,16,12,2022 row per 1,1,13619000,-8.577296046183948,12437.393407490163
R125,R1234YF,0.33351,0.66649,269.989,1.474,545.69,0.066,0.001,0.001,0.005,16,12,2022 row per 1,1,1474000,-8.25140483454015,12384.944215626401
R125,R1234YF,0.33351,0.66649,274.993,4.529,553.429,0.062,0.001,0.002,0.01,16,12,2022 row per 1,1,4529000,-8.36086383246532,12357.89166263882
R125,R1234YF,0.33351,0.66649,279.998,7.594,561.075,0.059,0.001,0.001,0.005,15,11,2022 row per 1,1,7594000,-8.46953166182805,12333.142682207641
R125,R1234YF,0.33351,0.66649,285.0,10.71,568.958,0.056,0.001,0.003,0.029,16,12,2022 row per 1,1,10710000,-8.577317512782773,12312.535662761655
R125,R1234YF,0.33351,0.66649,290.001,13.78,576.34,0.053,0.001,0.001,0.009,16,12,2022 row per 1,1,13780000,-8.68426012255912,12291.470215178593
R125,R1234YF,0.33351,0.66649,274.992,1.591,524.375,0.071,0.003,0.001,0.01,16,12,2022 row per 1,1,1591000,-8.36084203923042,12208.417501268323
R125,R1234YF,0.33351,0.66649,279.998,4.5,532.296,0.067,0.003,0.002,0.019,16,12,2022 row per 1,1,4500000,-8.46953166182805,12181.084295269327
R125,R1234YF,0.33351,0.66649,284.999,7.424,540.146,0.063,0.002,0.001,0.007,9,6,2022 row per 1,1,7424000,-8.577296046183948,12156.62085262354
R125,R1234YF,0.33351,0.66649,290.002,10.348,547.789,0.06,0.002,0.001,0.004,16,12,2022 row per 1,1,10348000,-8.684281424243427,12133.873849589923
R125,R1234YF,0.33351,0.66649,294.996,13.264,555.222,0.057,0.003,0.001,0.009,16,12,2022 row per 1,1,13264000,-8.790248104818463,12112.722089689276
R125,R1234YF,0.33351,0.66649,279.996,1.536,501.194,0.078,0.001,0.001,0.008,15,11,2022 row per 1,1,1536000,-8.469488401080588,12016.410428411094
R125,R1234YF,0.33351,0.66649,284.998,4.294,509.336,0.073,0.001,0.0,0.003,14,10,2022 row per 1,1,4294000,-8.577274579552276,11988.947612676353
R125,R1234YF,0.33351,0.66649,290.0,7.065,517.345,0.068,0.002,0.001,0.003,13,9,2022 row per 1,1,7065000,-8.684238820841719,11964.212066982278
R125,R1234YF,0.33351,0.66649,294.997,9.839,525.159,0.064,0.001,0.001,0.005,16,12,2022 row per 1,1,9839000,-8.79026924049838,11941.656961673863
R125,R1234YF,0.33351,0.66649,284.998,1.5,477.975,0.086,0.001,0.002,0.021,11,7,2022 row per 1,1,1500000,-8.577274579552276,11817.777266166388
R125,R1234YF,0.33351,0.66649,290.001,4.115,486.385,0.08,0.001,0.001,0.007,16,12,2022 row per 1,1,4115000,-8.68426012255912,11790.331763117543
R125,R1234YF,0.33351,0.66649,294.997,6.738,494.593,0.074,0.0,0.001,0.005,9,6,2022 row per 1,1,6738000,-8.79026924049838,11765.698816757085
R125,R1234YF,0.33351,0.66649,299.998,9.369,502.586,0.07,0.001,0.001,0.011,16,12,2022 row per 1,1,9369000,-8.895550059639554,11743.2518963804
R125,R1234YF,0.33351,0.66649,290.0,1.462,454.427,0.096,0.0,0.0,0.005,6,3,2022 row per 1,1,1462000,-8.684238820841719,11610.039341691323
R125,R1234YF,0.33351,0.66649,294.996,3.941,463.24,0.088,0.001,0.001,0.006,16,12,2022 row per 1,1,3941000,-8.790248104818463,11583.383031124811
R125,R1234YF,0.33351,0.66649,299.998,6.425,471.706,0.082,0.001,0.001,0.005,12,8,2022 row per 1,1,6425000,-8.895550059639554,11558.896159255091
R125,R1234YF,0.33351,0.66649,304.997,8.914,479.883,0.076,0.001,0.001,0.013,15,11,2022 row per 1,1,8914000,-8.99994677166066,11536.77692064613
R125,R1234YF,0.33351,0.66649,294.994,1.527,431.923,0.107,0.001,0.0,0.004,9,6,2022 row per 1,1,1527000,-8.790205833358502,11400.572615563939
R125,R1234YF,0.33351,0.66649,299.996,3.868,440.96,0.098,0.001,0.001,0.004,16,12,2022 row per 1,1,3868000,-8.89550812359903,11373.708396569358
R125,R1234YF,0.33351,0.66649,304.997,6.217,449.655,0.09,0.001,0.0,0.003,13,9,2022 row per 1,1,6217000,-8.99994677166066,11349.613471625062
R125,R1234YF,0.33351,0.66649,309.999,8.573,458.023,0.083,0.001,0.001,0.007,13,9,2022 row per 1,1,8573000,-9.103555254112946,11327.932306597624
R125,R1234YF,0.33351,0.66649,299.995,1.727,411.003,0.119,0.001,0.001,0.017,11,7,2022 row per 1,1,1727000,-8.895487155528242,11192.87591043433
R125,R1234YF,0.33351,0.66649,304.996,3.942,420.326,0.108,0.002,0.001,0.009,16,12,2022 row per 1,1,3942000,-8.999925972868402,11166.459697387245
R125,R1234YF,0.33351,0.66649,310.0,6.167,429.218,0.099,0.004,0.001,0.016,9,6,2022 row per 1,1,6167000,-9.10357588185079,11142.885092764833
R125,R1234YF,0.33351,0.66649,314.993,8.391,437.711,0.091,0.003,0.001,0.014,14,10,2022 row per 1,1,8391000,-9.206140212912961,11121.618819211562
R125,R1234YF,0.33351,0.66649,304.993,1.803,388.15,0.136,0.002,0.0,0.004,8,5,2022 row per 1,1,1803000,-8.999863576287527,10963.442922640674
R125,R1234YF,0.33351,0.66649,309.997,3.882,397.706,0.122,0.001,0.001,0.008,13,9,2022 row per 1,1,3882000,-9.103513998534158,10936.904650479231
R125,R1234YF,0.33351,0.66649,314.994,5.967,406.775,0.111,0.002,0.001,0.011,13,9,2022 row per 1,1,5967000,-9.206160668122253,10913.429023390045
R125,R1234YF,0.33351,0.66649,320.004,8.057,415.383,0.102,0.002,0.004,0.039,10,7,2022 row per 1,1,8057000,-9.308203777882252,10891.861990535817
R125,R1234YF,0.33351,0.66649,309.997,2.071,367.739,0.153,0.002,0.0,0.002,9,6,2022 row per 1,1,2071000,-9.103513998534158,10742.290500802917
R125,R1234YF,0.33351,0.66649,314.991,4.03,378.006,0.137,0.003,0.0,0.001,6,4,2022 row per 1,1,4030000,-9.206099302390186,10716.6824104867
R125,R1234YF,0.33351,0.66649,320.004,6.003,387.265,0.124,0.005,0.001,0.012,7,4,2022 row per 1,1,6003000,-9.308203777882252,10693.839121634226
R125,R1234YF,0.33351,0.66649,325.009,7.977,396.01,0.113,0.005,0.0,0.006,16,12,2022 row per 1,1,7977000,-9.40926533998661,10673.453564548001
R125,R1234YF,0.33351,0.66649,314.991,2.342,348.441,0.173,0.001,0.0,0.003,5,3,2022 row per 1,1,2342000,-9.206099302390186,10511.398275243086
R125,R1234YF,0.33351,0.66649,320.002,4.183,357.968,0.154,0.004,0.001,0.149,13,9,2022 row per 1,1,4183000,-9.308163217271195,10485.49232666905
R125,R1234YF,0.33351,0.66649,325.007,6.033,367.698,0.138,0.001,0.001,0.01,6,4,2022 row per 1,1,6033000,-9.409225132597824,10463.234750091235
R125,R1234YF,0.33351,0.66649,330.0,7.883,376.477,0.125,0.002,0.0,0.005,9,6,2022 row per 1,1,7883000,-9.509159339533074,10443.549157619236
R125,R1234YF,0.33351,0.66649,320.001,2.505,326.328,0.202,0.001,0.0,0.004,4,2,2022 row per 1,1,2505000,-9.308142936913017,10250.190452512377
R125,R1234YF,0.33351,0.66649,325.008,4.201,336.07,0.178,0.002,0.001,0.301,4,2,2022 row per 1,1,4201000,-9.409245236309953,10222.31671988323
