FLD1,FLD2,z_1 / mole frac.,z_2 / mole frac.,T / K,p / MPa,w / m/s,Uc(w) / %,sigma_T / K,sigma_p / MPa,sigma_w / m s^-1,N_temp,N_echo,bibkey,weight,p / Pa,Ao20,rho(EOS) / mol/m^3
R32,R1234YF,0.67205,0.32795,269.992,9.492,696.262,0.047,0.0,0.001,0.005,16,12,2022 row per 0,1,9492000,-6.0489682603457915,15858.071331733094
R32,R1234YF,0.67205,0.32795,269.992,1.591,629.084,0.058,0.001,0.001,0.006,16,12,2022 row per 0,1,1591000,-6.0489682603457915,15437.759257098365
R32,R1234YF,0.67205,0.32795,274.995,5.181,637.501,0.055,0.001,0.001,0.01,16,12,2022 row per 0,1,5181000,-6.1244426993527235,15413.841523493371
R32,R1234YF,0.67205,0.32795,279.999,8.792,645.87,0.052,0.001,0.0,0.003,16,12,2022 row per 0,1,8792000,-6.199934405940287,15392.84434366389
R32,R1234YF,0.67205,0.32795,285.001,12.455,654.438,0.05,0.001,0.008,0.074,16,12,2022 row per 0,1,12455000,-6.275377562354023,15376.362521726727
R32,R1234YF,0.67205,0.32795,285.001,1.686,550.485,0.075,0.001,0.001,0.013,16,12,2022 row per 0,1,1686000,-6.275377562354023,14676.262968395118
R32,R1234YF,0.67205,0.32795,290.003,4.764,559.821,0.069,0.001,0.001,0.008,14,10,2022 row per 0,1,4764000,-6.350780436593069,14654.881271673155
R32,R1234YF,0.67205,0.32795,294.998,7.857,568.945,0.065,0.001,0.001,0.007,16,12,2022 row per 0,1,7857000,-6.42601457654744,14636.518006051281
R32,R1234YF,0.67205,0.32795,299.997,10.954,577.746,0.061,0.002,0.009,0.076,14,10,2022 row per 0,1,10954000,-6.501221731915167,14619.685720734613
R32,R1234YF,0.67205,0.32795,294.995,1.579,493.04,0.097,0.002,0.001,0.016,12,8,2022 row per 0,1,1579000,-6.425969414585862,14091.407009979814
R32,R1234YF,0.67205,0.32795,299.999,4.325,503.42,0.088,0.001,0.001,0.01,16,12,2022 row per 0,1,4325000,-6.501251800049765,14073.871781296462
R32,R1234YF,0.67205,0.32795,304.998,7.081,513.318,0.08,0.001,0.001,0.007,13,9,2022 row per 0,1,7081000,-6.57634688509015,14058.54364889565
R32,R1234YF,0.67205,0.32795,310.0,9.848,522.787,0.074,0.001,0.002,0.02,15,11,2022 row per 0,1,9848000,-6.651349562173392,14045.06780555571
R32,R1234YF,0.67205,0.32795,304.996,2.008,440.253,0.128,0.001,0.001,0.008,15,11,2022 row per 0,1,2008000,-6.576316866808481,13495.372779218373
R32,R1234YF,0.67205,0.32795,309.999,4.436,451.45,0.113,0.001,0.001,0.01,11,7,2022 row per 0,1,4436000,-6.651334583087701,13481.334488868873
R32,R1234YF,0.67205,0.32795,314.995,6.871,461.93,0.101,0.002,0.002,0.019,15,11,2022 row per 0,1,6871000,-6.726084407958483,13468.832088722065
